deployment_code,analysis_start_datetime,analysis_end_datetime,organization_code,analysis_code,recording_codes,analysis_sound_source_codes,analysis_granularity_code,analysis_sample_rate_khz,analysis_min_frequency_khz,analysis_max_frequency_khz,analysis_processing_code,analysis_quality_code,analysis_protocol_reference,analysis_release_data,analysis_release_pacm,detector_codes
SWFSC_NEPAC_20240817_CALCURCEAS_001,2024-08-17T19:00:00Z,2024-08-25T13:02:00Z,SWFSC,BEAKED_ANALYSIS,SOUNDTRAP_RECORDING,"BBWH,HUBW,BWC,GOBW,GTBW,STBWH,UNME",EVENT_ENCOUNTER,384,10,192,POST_PROCESSED,FULLY_VALIDATED,Simonis et al 2020 (https://swfsc-publications.fisheries.noaa.gov/publications/CR/2020/2020Simonis3.pdf),TRUE,TRUE,PAMGUARD_CLICK
SWFSC_NEPAC_20240820_CALCURCEAS_002,2024-08-20T13:36:00Z,2024-08-30T02:00:00Z,SWFSC,BEAKED_ANALYSIS,SOUNDTRAP_RECORDING,"BBWH,HUBW,BWC,GOBW,GTBW,STBWH,UNME",EVENT_ENCOUNTER,384,10,192,POST_PROCESSED,FULLY_VALIDATED,Simonis et al 2020 (https://swfsc-publications.fisheries.noaa.gov/publications/CR/2020/2020Simonis3.pdf),TRUE,TRUE,PAMGUARD_CLICK
SWFSC_NEPAC_20240820_CALCURCEAS_003,2024-08-20T20:40:00Z,2024-08-30T05:00:00Z,SWFSC,BEAKED_ANALYSIS,SOUNDTRAP_RECORDING,"BBWH,HUBW,BWC,GOBW,GTBW,STBWH,UNME",EVENT_ENCOUNTER,384,10,192,POST_PROCESSED,FULLY_VALIDATED,Simonis et al 2020 (https://swfsc-publications.fisheries.noaa.gov/publications/CR/2020/2020Simonis3.pdf),TRUE,TRUE,PAMGUARD_CLICK
SWFSC_NEPAC_20240821_CALCURCEAS_004,2024-08-21T04:02:00Z,2024-08-28T02:58:00Z,SWFSC,BEAKED_ANALYSIS,SOUNDTRAP_RECORDING,"BBWH,HUBW,BWC,GOBW,GTBW,STBWH,UNME",EVENT_ENCOUNTER,384,10,192,POST_PROCESSED,FULLY_VALIDATED,Simonis et al 2020 (https://swfsc-publications.fisheries.noaa.gov/publications/CR/2020/2020Simonis3.pdf),TRUE,TRUE,PAMGUARD_CLICK
SWFSC_NEPAC_20240823_CALCURCEAS_006,2024-08-23T00:49:59Z,2024-08-30T15:28:00Z,SWFSC,BEAKED_ANALYSIS,SOUNDTRAP_RECORDING,"BBWH,HUBW,BWC,GOBW,GTBW,STBWH,UNME",EVENT_ENCOUNTER,384,10,192,POST_PROCESSED,FULLY_VALIDATED,Simonis et al 2020 (https://swfsc-publications.fisheries.noaa.gov/publications/CR/2020/2020Simonis3.pdf),TRUE,TRUE,PAMGUARD_CLICK
SWFSC_NEPAC_20240913_CALCURCEAS_008,2024-09-13T22:12:00Z,2024-09-21T00:46:00Z,SWFSC,BEAKED_ANALYSIS,SOUNDTRAP_RECORDING,"BBWH,HUBW,BWC,GOBW,GTBW,STBWH,UNME",EVENT_ENCOUNTER,384,10,192,POST_PROCESSED,FULLY_VALIDATED,Simonis et al 2020 (https://swfsc-publications.fisheries.noaa.gov/publications/CR/2020/2020Simonis3.pdf),TRUE,TRUE,PAMGUARD_CLICK
SWFSC_NEPAC_20240914_CALCURCEAS_009,2024-09-14T14:06:00Z,2024-09-23T21:22:00Z,SWFSC,BEAKED_ANALYSIS,SOUNDTRAP_RECORDING,"BBWH,HUBW,BWC,GOBW,GTBW,STBWH,UNME",EVENT_ENCOUNTER,384,10,192,POST_PROCESSED,FULLY_VALIDATED,Simonis et al 2020 (https://swfsc-publications.fisheries.noaa.gov/publications/CR/2020/2020Simonis3.pdf),TRUE,TRUE,PAMGUARD_CLICK
SWFSC_NEPAC_20240914_CALCURCEAS_010,2024-09-14T21:23:00Z,2024-09-24T01:24:29Z,SWFSC,BEAKED_ANALYSIS,SOUNDTRAP_RECORDING,"BBWH,HUBW,BWC,GOBW,GTBW,STBWH,UNME",EVENT_ENCOUNTER,384,10,192,POST_PROCESSED,FULLY_VALIDATED,Simonis et al 2020 (https://swfsc-publications.fisheries.noaa.gov/publications/CR/2020/2020Simonis3.pdf),TRUE,TRUE,PAMGUARD_CLICK
SWFSC_NEPAC_20240915_CALCURCEAS_011,2024-09-15T17:00:00Z,2024-09-22T14:55:00Z,SWFSC,BEAKED_ANALYSIS,SOUNDTRAP_RECORDING,"BBWH,HUBW,BWC,GOBW,GTBW,STBWH,UNME",EVENT_ENCOUNTER,384,10,192,POST_PROCESSED,FULLY_VALIDATED,Simonis et al 2020 (https://swfsc-publications.fisheries.noaa.gov/publications/CR/2020/2020Simonis3.pdf),TRUE,TRUE,PAMGUARD_CLICK
SWFSC_NEPAC_20241005_CALCURCEAS_015,2024-10-05T14:30:00Z,2024-10-11T14:32:59Z,SWFSC,BEAKED_ANALYSIS,SOUNDTRAP_RECORDING,"BBWH,HUBW,BWC,GOBW,GTBW,STBWH,UNME",EVENT_ENCOUNTER,384,10,192,POST_PROCESSED,FULLY_VALIDATED,Simonis et al 2020 (https://swfsc-publications.fisheries.noaa.gov/publications/CR/2020/2020Simonis3.pdf),TRUE,TRUE,PAMGUARD_CLICK
