deployment_code,detection_start_datetime,detection_end_datetime,detection_effort_secs,detection_sound_source_code,organization_code,analysis_code,detection_call_type_code,detection_result_code
SWFSC_NEPAC_20240817_CALCURCEAS_001,2024-08-18T15:09:39Z,2024-08-18T15:11:22Z,103,HUBW,SWFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20240817_CALCURCEAS_001,2024-08-18T15:18:18Z,2024-08-18T15:18:24Z,6,HUBW,SWFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20240817_CALCURCEAS_001,2024-08-18T15:23:03Z,2024-08-18T15:23:08Z,5,HUBW,SWFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20240817_CALCURCEAS_001,2024-08-18T19:00:49Z,2024-08-18T19:03:33Z,164,HUBW,SWFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20240817_CALCURCEAS_001,2024-08-18T19:11:18Z,2024-08-18T19:11:29Z,11,HUBW,SWFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20240817_CALCURCEAS_001,2024-08-20T17:22:29Z,2024-08-20T17:27:37Z,308,STBWH,SWFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20240817_CALCURCEAS_001,2024-08-24T18:32:02Z,2024-08-24T18:51:06Z,1144,BBWH,SWFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20240820_CALCURCEAS_002,2024-08-22T01:29:58Z,2024-08-22T01:31:33Z,94,GOBW,SWFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20240820_CALCURCEAS_002,2024-08-24T06:15:22Z,2024-08-24T06:15:33Z,11,STBWH,SWFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20240820_CALCURCEAS_002,2024-08-24T19:39:43Z,2024-08-24T19:39:45Z,2,GOBW,SWFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20240820_CALCURCEAS_002,2024-08-25T02:18:07Z,2024-08-25T02:29:06Z,659,GOBW,SWFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20240820_CALCURCEAS_002,2024-08-25T19:18:05Z,2024-08-25T19:29:11Z,666,GOBW,SWFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20240820_CALCURCEAS_003,2024-08-20T21:35:57Z,2024-08-20T22:01:21Z,1524,GOBW,SWFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20240820_CALCURCEAS_003,2024-08-22T10:02:05Z,2024-08-22T10:07:52Z,347,STBWH,SWFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20240820_CALCURCEAS_003,2024-08-22T10:59:49Z,2024-08-22T10:59:50Z,1,HUBW,SWFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20240820_CALCURCEAS_003,2024-08-22T19:05:17Z,2024-08-22T19:05:49Z,32,GOBW,SWFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20240820_CALCURCEAS_003,2024-08-23T00:01:57Z,2024-08-23T00:23:56Z,1319,GOBW,SWFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
