organization_code,deployment_code,analysis_code,recording_codes,analysis_sound_source_codes,analysis_granularity_code,analysis_start_datetime,analysis_end_datetime,analysis_sample_rate_khz,analysis_min_frequency_khz,analysis_max_frequency_khz,analysis_processing_code,analysis_quality_code,analysis_protocol_reference,analysis_dataset_url,analysis_release_data,analysis_release_pacm,detector_codes,analysis_citation_codes,detector_version,detector_json,detector_output_filename,detector_output_uri,analysis_analysts,analysis_json,analysis_comments
SWFSC,SWFSC_BCN_20160824_PASCAL_006,BEAKED_ANALYSIS,SOUNDTRAP_RECORDING,"BBWH,BWC,BW43,GOBW,HUBW,STBWH,UNME",INTERVAL,2016-08-24T13:00:23+0000,2016-08-30T03:29:26+0000,288.0,0.0,288.0,POST_PROCESSED,FULLY_VALIDATED,Simonis et al 2020 (https://swfsc-publications.fisheries.noaa.gov/publications/CR/2020/2020Simonis3.pdf),,TRUE,TRUE,PAMGUARD_CLICK,,,,,,,,
SWFSC,SWFSC_BCN_20160825_PASCAL_007,BEAKED_ANALYSIS,SM3M_RECORDINGS,"BBWH,BWC,BW43,GOBW,HUBW,STBWH,UNME",INTERVAL,2016-08-25T09:30:05+0000,2016-09-13T09:30:03+0000,256.0,0.0,256.0,POST_PROCESSED,FULLY_VALIDATED,Simonis et al 2020 (https://swfsc-publications.fisheries.noaa.gov/publications/CR/2020/2020Simonis3.pdf),,TRUE,TRUE,PAMGUARD_CLICK,,,,,,,,
SWFSC,SWFSC_BCN_20181005_CCES_014,BEAKED_ANALYSIS,SOUNDTRAP_RECORDING,"BBWH,BWC,BW43,GOBW,HUBW,STBWH,UNME",INTERVAL,2018-10-05T06:01:04+0000,2018-11-01T16:43:03+0000,576.0,0.0,288.0,POST_PROCESSED,FULLY_VALIDATED,Simonis et al 2020 (https://swfsc-publications.fisheries.noaa.gov/publications/CR/2020/2020Simonis3.pdf),,TRUE,TRUE,PAMGUARD_CLICK,,,,,,,,
SWFSC,SWFSC_BCN_20181030_CCES_016,BEAKED_ANALYSIS,SOUNDTRAP_RECORDING,"BBWH,BWC,BW43,GOBW,HUBW,STBWH,UNME",INTERVAL,2018-10-30T14:49:37+0000,2018-11-15T23:01:37+0000,576.0,0.0,288.0,POST_PROCESSED,FULLY_VALIDATED,Simonis et al 2020 (https://swfsc-publications.fisheries.noaa.gov/publications/CR/2020/2020Simonis3.pdf),,TRUE,TRUE,PAMGUARD_CLICK,,,,,,,,
SWFSC,SWFSC_BCN_20181031_CCES_017,BEAKED_ANALYSIS,SM3M_RECORDINGS,"BBWH,BWC,BW43,GOBW,HUBW,STBWH,UNME",INTERVAL,2018-10-31T00:00:00+0000,2018-11-24T04:30:00+0000,256.0,0.0,256.0,POST_PROCESSED,FULLY_VALIDATED,Simonis et al 2020 (https://swfsc-publications.fisheries.noaa.gov/publications/CR/2020/2020Simonis3.pdf),,TRUE,TRUE,PAMGUARD_CLICK,,,,,,,,
SWFSC,SWFSC_BCN_20181031_CCES_018,BEAKED_ANALYSIS,SOUNDTRAP_RECORDING,"BBWH,BWC,BW43,GOBW,HUBW,STBWH,UNME",INTERVAL,2018-10-31T10:05:29+0000,2018-11-16T04:12:29+0000,576.0,0.0,288.0,POST_PROCESSED,FULLY_VALIDATED,Simonis et al 2020 (https://swfsc-publications.fisheries.noaa.gov/publications/CR/2020/2020Simonis3.pdf),,TRUE,TRUE,PAMGUARD_CLICK,,,,,,,,
SWFSC,SWFSC_BCN_20181101_CCES_019,BEAKED_ANALYSIS,SOUNDTRAP_RECORDING,"BBWH,BWC,BW43,GOBW,HUBW,STBWH,UNME",INTERVAL,2018-11-01T02:23:12+0000,2018-11-18T12:54:48+0000,576.0,0.0,288.0,POST_PROCESSED,FULLY_VALIDATED,Simonis et al 2020 (https://swfsc-publications.fisheries.noaa.gov/publications/CR/2020/2020Simonis3.pdf),,TRUE,TRUE,PAMGUARD_CLICK,,,,,,,,
SWFSC,SWFSC_BCN_20181105_CCES_020,BEAKED_ANALYSIS,SOUNDTRAP_RECORDING,"BBWH,BWC,BW43,GOBW,HUBW,STBWH,UNME",INTERVAL,2018-11-05T14:22:39+0000,2018-11-22T09:16:43+0000,576.0,0.0,288.0,POST_PROCESSED,FULLY_VALIDATED,Simonis et al 2020 (https://swfsc-publications.fisheries.noaa.gov/publications/CR/2020/2020Simonis3.pdf),,TRUE,TRUE,PAMGUARD_CLICK,,,,,,,,
SWFSC,SWFSC_BCN_20181106_CCES_021,BEAKED_ANALYSIS,SOUNDTRAP_RECORDING,"BBWH,BWC,BW43,GOBW,HUBW,STBWH,UNME",INTERVAL,2018-11-06T03:58:51+0000,2018-11-11T09:12:51+0000,576.0,0.0,288.0,POST_PROCESSED,FULLY_VALIDATED,Simonis et al 2020 (https://swfsc-publications.fisheries.noaa.gov/publications/CR/2020/2020Simonis3.pdf),,TRUE,TRUE,PAMGUARD_CLICK,,,,,,,,
SWFSC,SWFSC_BCN_20181107_CCES_022,BEAKED_ANALYSIS,SOUNDTRAP_RECORDING,"BBWH,BWC,BW43,GOBW,HUBW,STBWH,UNME",INTERVAL,2018-11-07T14:23:49+0000,2018-11-23T18:55:49+0000,576.0,0.0,288.0,POST_PROCESSED,FULLY_VALIDATED,Simonis et al 2020 (https://swfsc-publications.fisheries.noaa.gov/publications/CR/2020/2020Simonis3.pdf),,TRUE,TRUE,PAMGUARD_CLICK,,,,,,,,
