organization_code,deployment_code,recording_device_codes,recording_code,recording_start_datetime,recording_end_datetime,recording_duration_secs,recording_interval_secs,recording_sample_rate_khz,recording_bit_depth,recording_channel,recording_n_channels,recording_filetypes,recording_timezone,recording_usable_start_datetime,recording_usable_end_datetime,recording_usable_min_frequency_khz,recording_usable_max_frequency_khz,recording_quality_code,recording_device_lost,recording_device_depth_m,recording_device_calibration_state_code,recording_redacted,recording_ncei_archived,recording_json,recording_uri,recording_calibration_uri,recording_comments
SWFSC,SWFSC_BCN_20160824_PASCAL_006,"HTI_856053,HTI_856064",SOUNDTRAP_RECORDING,2016-08-24T13:00:23+0000,2016-08-30T03:29:26+0000,120.0,120.0,288.0,16,1,2,WAV,UTC,2016-08-24T13:00:23+0000,2016-08-30T03:29:26+0000,0.23,144.0,COMPROMISED,,100.0,,,,,gs://swfsc-1/2016_PASCAL/drifting_recorder/audio_wav/PASCAL_006,,
SWFSC,SWFSC_BCN_20160825_PASCAL_007,"HTI_856042,HTI_856045",SM3M_RECORDINGS,2016-08-25T09:30:05+0000,2016-09-13T09:30:03+0000,114.0,114.0,256.0,16,1,2,WAV,UTC,2016-08-25T09:30:05+0000,2016-09-13T09:30:03+0000,0.25,128.0,COMPROMISED,,100.0,,,,,gs://swfsc-1/2016_PASCAL/drifting_recorder/audio_wav/PASCAL_007,,
SWFSC,SWFSC_BCN_20181005_CCES_014,"HTI_856048,HTI_856059,SOUNDTRAP_1208791071",SOUNDTRAP_RECORDING,2018-10-05T06:01:04+0000,2018-11-01T16:43:03+0000,120.0,1200.0,576.0,16,1,2,WAV,UTC,2018-10-05T06:01:04+0000,2018-11-01T16:43:03+0000,0.03,576.0,GOOD,,150.0,,,,,gs://swfsc-1/2018_CCES/drifting_recorder/audio_wav/CCES_014,,
SWFSC,SWFSC_BCN_20181030_CCES_016,"HTI_856049,HTI_856068",SOUNDTRAP_RECORDING,2018-10-30T14:49:37+0000,2018-11-15T23:01:37+0000,120.0,600.0,576.0,16,1,2,WAV,UTC,2018-10-30T14:49:37+0000,2018-11-15T23:01:37+0000,0.03,576.0,GOOD,,150.0,,,,,gs://swfsc-1/2018_CCES/drifting_recorder/audio_wav/CCES_016,,
SWFSC,SWFSC_BCN_20181031_CCES_017,"HTI_856040,HTI_856073",SM3M_RECORDINGS,2018-10-31T00:00:00+0000,2018-11-24T04:30:00+0000,120.0,240.0,256.0,16,1,2,WAV,UTC,2018-10-31T00:00:00+0000,2018-11-24T04:30:00+0000,0.0,256.0,COMPROMISED,,100.0,,,,,gs://swfsc-1/2018_CCES/drifting_recorder/audio_wav/CCES_017,,
SWFSC,SWFSC_BCN_20181031_CCES_018,"HTI_856096,SOUNDTRAP_1208786975,HTI_856044",SOUNDTRAP_RECORDING,2018-10-31T10:05:29+0000,2018-11-16T04:12:29+0000,120.0,360.0,576.0,16,1,2,WAV,UTC,2018-10-31T10:05:29+0000,2018-11-16T04:12:29+0000,0.0,576.0,GOOD,,150.0,,,,,gs://swfsc-1/2018_CCES/drifting_recorder/audio_wav/CCES_018,,
SWFSC,SWFSC_BCN_20181101_CCES_019,"SOUNDTRAP_1678016538,HTI_856041,HTI_856095",SOUNDTRAP_RECORDING,2018-11-01T02:23:12+0000,2018-11-18T12:54:48+0000,120.0,600.0,576.0,16,1,2,WAV,UTC,2018-11-01T02:23:12+0000,2018-11-18T12:54:48+0000,0.03,576.0,GOOD,,150.0,,,,,gs://swfsc-1/2018_CCES/drifting_recorder/audio_wav/CCES_019,,
SWFSC,SWFSC_BCN_20181105_CCES_020,"HTI_856097,HTI_856017,SOUNDTRAP_1677738025",SOUNDTRAP_RECORDING,2018-11-05T14:22:39+0000,2018-11-22T09:16:43+0000,120.0,600.0,576.0,16,1,2,WAV,UTC,2018-11-05T14:22:39+0000,2018-11-22T09:16:43+0000,0.02,576.0,GOOD,,150.0,,,,,gs://swfsc-1/2018_CCES/drifting_recorder/audio_wav/CCES_020,,
SWFSC,SWFSC_BCN_20181106_CCES_021,"HTI_856048,HTI_856059,SOUNDTRAP_1208791071",SOUNDTRAP_RECORDING,2018-11-06T03:58:51+0000,2018-11-11T09:12:51+0000,120.0,360.0,576.0,16,1,2,WAV,UTC,2018-11-06T03:58:51+0000,2018-11-11T09:12:51+0000,0.05,576.0,GOOD,,150.0,,,,,gs://swfsc-1/2018_CCES/drifting_recorder/audio_wav/CCES_021,,
SWFSC,SWFSC_BCN_20181107_CCES_022,"SOUNDTRAP_1544081436,HTI_856051,HTI_856067",SOUNDTRAP_RECORDING,2018-11-07T14:23:49+0000,2018-11-23T18:55:49+0000,120.0,600.0,576.0,16,1,2,WAV,UTC,2018-11-07T14:23:49+0000,2018-11-23T18:55:49+0000,0.025,576.0,GOOD,,150.0,,,,,gs://swfsc-1/2018_CCES/drifting_recorder/audio_wav/CCES_022,,
SWFSC,SWFSC_BCN_20181122_CCES_023,"HTI_856048,HTI_856059,SOUNDTRAP_1208791071",SOUNDTRAP_RECORDING,2018-11-22T08:28:24+0000,2018-12-03T00:49:11+0000,120.0,300.0,576.0,16,1,2,WAV,UTC,2018-11-22T08:28:24+0000,2018-12-03T00:49:11+0000,0.02,576.0,GOOD,,150.0,,,,,gs://swfsc-1/2018_CCES/drifting_recorder/audio_wav/CCES_023,,
SWFSC,SWFSC_CHI_20160822_PASCAL_005,"HTI_856048,HTI_856059",SOUNDTRAP_RECORDING,2016-08-22T15:03:57+0000,2016-09-04T22:55:57+0000,120.0,600.0,288.0,16,1,2,WAV,UTC,2016-08-22T15:03:57+0000,2016-09-04T22:55:57+0000,0.0,144.0,GOOD,,100.0,,,,,gs://swfsc-1/2016_PASCAL/drifting_recorder/audio_wav/PASCAL_005,,
SWFSC,SWFSC_CHI_20160826_PASCAL_008,"HTI_856025,HTI_856028",SM2BAT_RECORDINGS,2016-08-26T04:56:00+0000,2016-09-14T02:46:00+0000,120.0,240.0,192.0,16,1,2,WAV,UTC,2016-08-26T04:56:00+0000,2016-09-14T02:46:00+0000,0.25,96.0,COMPROMISED,,100.0,,,,,gs://swfsc-1/2016_PASCAL/drifting_recorder/audio_wav/PASCAL_008,,
SWFSC,SWFSC_CHI_20160904_PASCAL_019,"HTI_856047,HTI_856062",SOUNDTRAP_RECORDING,2016-09-04T01:47:23+0000,2016-09-23T06:59:21+0000,120.0,600.0,288.0,16,1,2,WAV,UTC,2016-09-04T01:47:23+0000,2016-09-23T06:59:21+0000,0.046,144.0,GOOD,,100.0,,,,,gs://swfsc-1/2016_PASCAL/drifting_recorder/audio_wav/PASCAL_019,,
SWFSC,SWFSC_CHI_20160906_PASCAL_020,"HTI_856056,HTI_856061",SOUNDTRAP_RECORDING,2016-09-06T02:37:11+0000,2016-09-29T05:18:16+0000,120.0,600.0,288.0,16,1,2,WAV,UTC,2016-09-06T02:37:11+0000,2016-09-29T05:18:16+0000,0.167,144.0,COMPROMISED,,100.0,,,,,gs://swfsc-1/2016_PASCAL/drifting_recorder/audio_wav/PASCAL_020,,
