deployment_code,deployment_code,,deployment_code_yyyymmdd,,,,,,deployment_code
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_HUM_20210822_ADRIFT_001,,SWFSC_HUM_20210822_ADRIFT_001,ADRIFT,001,ADRIFT_001,,,SWFSC_HUM_20210822_ADRIFT_001
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_HMB_20210609_ADRIFT_002,,SWFSC_HMB_20210609_ADRIFT_002,ADRIFT,002,ADRIFT_002,,,SWFSC_HMB_20210609_ADRIFT_002
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_SFB_20210725_ADRIFT_003,,SWFSC_SFB_20210725_ADRIFT_003,ADRIFT,003,ADRIFT_003,,,SWFSC_SFB_20210725_ADRIFT_003
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_SFB_20210610_ADRIFT_005,,SWFSC_SFB_20210610_ADRIFT_005,ADRIFT,005,ADRIFT_005,,,SWFSC_SFB_20210610_ADRIFT_005
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_SFB_20210725_ADRIFT_006,,SWFSC_SFB_20210725_ADRIFT_006,ADRIFT,006,ADRIFT_006,,,SWFSC_SFB_20210725_ADRIFT_006
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_SFB_20210610_ADRIFT_007,,SWFSC_SFB_20210610_ADRIFT_007,ADRIFT,007,ADRIFT_007,,,SWFSC_SFB_20210610_ADRIFT_007
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_HUM_20220118_ADRIFT_012,,SWFSC_HUM_20220118_ADRIFT_012,ADRIFT,012,ADRIFT_012,,,SWFSC_HUM_20220118_ADRIFT_012
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_MOB_20220423_ADRIFT_013,,SWFSC_MOB_20220423_ADRIFT_013,ADRIFT,013,ADRIFT_013,,,SWFSC_MOB_20220423_ADRIFT_013
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_SFB_20220618_ADRIFT_015,,SWFSC_SFB_20220618_ADRIFT_015,ADRIFT,015,ADRIFT_015,,,SWFSC_SFB_20220618_ADRIFT_015
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_HUM_20220425_ADRIFT_017,,SWFSC_HUM_20220425_ADRIFT_017,ADRIFT,017,ADRIFT_017,,,SWFSC_HUM_20220425_ADRIFT_017
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_HUM_20220425_ADRIFT_018,,SWFSC_HUM_20220425_ADRIFT_018,ADRIFT,018,ADRIFT_018,,,SWFSC_HUM_20220425_ADRIFT_018
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_MBY_20220621_ADRIFT_019,,SWFSC_MBY_20220621_ADRIFT_019,ADRIFT,019,ADRIFT_019,,,SWFSC_MBY_20220621_ADRIFT_019
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_MBY_20220621_ADRIFT_020,,SWFSC_MBY_20220621_ADRIFT_020,ADRIFT,020,ADRIFT_020,,,SWFSC_MBY_20220621_ADRIFT_020
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_MBY_20220621_ADRIFT_021,,SWFSC_MBY_20220621_ADRIFT_021,ADRIFT,021,ADRIFT_021,,,SWFSC_MBY_20220621_ADRIFT_021
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_MBY_20220621_ADRIFT_022,,SWFSC_MBY_20220621_ADRIFT_022,ADRIFT,022,ADRIFT_022,,,SWFSC_MBY_20220621_ADRIFT_022
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_MBY_20220621_ADRIFT_023,,SWFSC_MBY_20220621_ADRIFT_023,ADRIFT,023,ADRIFT_023,,,SWFSC_MBY_20220621_ADRIFT_023
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_MBY_20220621_ADRIFT_024,,SWFSC_MBY_20220621_ADRIFT_024,ADRIFT,024,ADRIFT_024,,,SWFSC_MBY_20220621_ADRIFT_024
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_MBY_20220621_ADRIFT_025,,SWFSC_MBY_20220621_ADRIFT_025,ADRIFT,025,ADRIFT_025,,,SWFSC_MBY_20220621_ADRIFT_025
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_MBY_20220621_ADRIFT_026,,SWFSC_MBY_20220621_ADRIFT_026,ADRIFT,026,ADRIFT_026,,,SWFSC_MBY_20220621_ADRIFT_026
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_SFB_20220726_ADRIFT_027,,SWFSC_SFB_20220726_ADRIFT_027,ADRIFT,027,ADRIFT_027,,,SWFSC_SFB_20220726_ADRIFT_027
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_SFB_20220726_ADRIFT_028,,SWFSC_SFB_20220726_ADRIFT_028,ADRIFT,028,ADRIFT_028,,,SWFSC_SFB_20220726_ADRIFT_028
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_HUM_20220728_ADRIFT_030,,SWFSC_HUM_20220728_ADRIFT_030,ADRIFT,030,ADRIFT_030,,,SWFSC_HUM_20220728_ADRIFT_030
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_HUM_20220728_ADRIFT_031,,SWFSC_HUM_20220728_ADRIFT_031,ADRIFT,031,ADRIFT_031,,,SWFSC_HUM_20220728_ADRIFT_031
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_HUM_20220913_ADRIFT_032,,SWFSC_HUM_20220913_ADRIFT_032,ADRIFT,032,ADRIFT_032,,,SWFSC_HUM_20220913_ADRIFT_032
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_HUM_20220913_ADRIFT_033,,SWFSC_HUM_20220913_ADRIFT_033,ADRIFT,033,ADRIFT_033,,,SWFSC_HUM_20220913_ADRIFT_033
