organization_code,device_code,device_type_code,device_manufacturer,device_model_name,device_model_number,device_serial_number,device_description,device_start_date,device_end_date,device_alias,device_json,device_comments,child_device_codes
SWFSC,SOUNDTRAP_1543770129,RECORDING_DEVICE,Ocean Instruments,,SoundTrap 4300,1543770129,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SOUNDTRAP_1544081436,RECORDING_DEVICE,Ocean Instruments,,SoundTrap 4300,1544081436,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SOUNDTRAP_7934,RECORDING_DEVICE,Ocean Instruments,,SoundTrap 640,7934,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SOUNDTRAP_7951,RECORDING_DEVICE,Ocean Instruments,,SoundTrap 640,7951,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SOUNDTRAP_6537,RECORDING_DEVICE,Ocean Instruments,,SoundTrap 300 High Frequency,6537,,,,,"{""GAIN"":{""HIGH"":176.8,""LOW"":189.5}}",,
SWFSC,SOUNDTRAP_6539,RECORDING_DEVICE,Ocean Instruments,,SoundTrap 300 High Frequency,6539,,,,,"{""GAIN"":{""HIGH"":176.6,""LOW"":189.1}}",,
SWFSC,SOUNDTRAP_201883689,RECORDING_DEVICE,Ocean Instruments,,SoundTrap 300 High Frequency,201883689,,,,,"{""GAIN"":{""HIGH"":172.3,""LOW"":184.7}}",,
SWFSC,SOUNDTRAP_5296,RECORDING_DEVICE,Ocean Instruments,,SoundTrap 4300 High Frequency,5296,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SOUNDTRAP_5984,RECORDING_DEVICE,Ocean Instruments,,SoundTrap 4300 High Frequency,5984,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SOUNDTRAP_5987,RECORDING_DEVICE,Ocean Instruments,,SoundTrap 4300 High Frequency,5987,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SOUNDTRAP_5991,RECORDING_DEVICE,Ocean Instruments,,SoundTrap 4300 High Frequency,5991,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SOUNDTRAP_5992,RECORDING_DEVICE,Ocean Instruments,,SoundTrap 4300 High Frequency,5992,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SOUNDTRAP_5994,RECORDING_DEVICE,Ocean Instruments,,SoundTrap 4300 High Frequency,5994,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SOUNDTRAP_1208791071,RECORDING_DEVICE,Ocean Instruments,,SoundTrap 4300 High Frequency,1208791071,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SOUNDTRAP_1677738025,RECORDING_DEVICE,Ocean Instruments,,SoundTrap 4300,1677738025,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SOUNDTRAP_1678016538,RECORDING_DEVICE,Ocean Instruments,,SoundTrap 4300,1678016538,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SOUNDTRAP_6664,RECORDING_DEVICE,Ocean Instruments,,SoundTrap 640,6664,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SOUNDTRAP_6541,RECORDING_DEVICE,Ocean Instruments,,SoundTrap 300 High Frequency,6541,,,,,"{""GAIN"":{""HIGH"":175.7,""LOW"":189.9}}",,
SWFSC,SOUNDTRAP_1636,RECORDING_DEVICE,Ocean Instruments,,SoundTrap 500 High Frequency,1636,,,,,"{""SENSITIVITY"":-1.8}",,
SWFSC,SOUNDTRAP_5986,RECORDING_DEVICE,Ocean Instruments,,SoundTrap 4300 High Frequency,5986,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SOUNDTRAP_5990,RECORDING_DEVICE,Ocean Instruments,,SoundTrap 4300 High Frequency,5990,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SOUNDTRAP_1208528927,RECORDING_DEVICE,Ocean Instruments,,SoundTrap 300 High Frequency,1208528927,,,,,"{""GAIN"":{""HIGH"":178,""LOW"":190.7}}",,
SWFSC,SOUNDTRAP_4915,RECORDING_DEVICE,Ocean Instruments,,SoundTrap 500 High Frequency,4915,,,,,,,
SWFSC,SOUNDTRAP_5288,RECORDING_DEVICE,Ocean Instruments,,SoundTrap 500 High Frequency,5288,,,,,"{""SENSITIVITY"":-1.8}",,
SWFSC,SOUNDTRAP_6655,RECORDING_DEVICE,Ocean Instruments,,SoundTrap 640,6655,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SOUNDTRAP_6667,RECORDING_DEVICE,Ocean Instruments,,SoundTrap 640,6667,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SOUNDTRAP_7936,RECORDING_DEVICE,Ocean Instruments,,SoundTrap 640,7936,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SOUNDTRAP_7950,RECORDING_DEVICE,Ocean Instruments,,SoundTrap 640,7950,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SOUNDTRAP_7930,RECORDING_DEVICE,Ocean Instruments,,SoundTrap 640,7930,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SOUNDTRAP_7952,RECORDING_DEVICE,Ocean Instruments,,SoundTrap 640,7952,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SOUNDTRAP_7953,RECORDING_DEVICE,Ocean Instruments,,SoundTrap 640,7953,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SOUNDTRAP_7935,RECORDING_DEVICE,Ocean Instruments,,SoundTrap 640,7935,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SOUNDTRAP_7939,RECORDING_DEVICE,Ocean Instruments,,SoundTrap 640,7939,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SOUNDTRAP_6663,RECORDING_DEVICE,Ocean Instruments,,SoundTrap 640,6663,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SOUNDTRAP_6665,RECORDING_DEVICE,Ocean Instruments,,SoundTrap 640,6665,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SOUNDTRAP_8595,RECORDING_DEVICE,Ocean Instruments,,SoundTrap 640,8595,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SOUNDTRAP_7517,RECORDING_DEVICE,Ocean Instruments,,SoundTrap 640,7517,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SOUNDTRAP_7518,RECORDING_DEVICE,Ocean Instruments,,SoundTrap 640,7518,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SOUNDTRAP_7519,RECORDING_DEVICE,Ocean Instruments,,SoundTrap 640,7519,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SOUNDTRAP_7520,RECORDING_DEVICE,Ocean Instruments,,SoundTrap 640,7520,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SOUNDTRAP_7521,RECORDING_DEVICE,Ocean Instruments,,SoundTrap 640,7521,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SOUNDTRAP_7931,RECORDING_DEVICE,Ocean Instruments,,SoundTrap 640,7931,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SOUNDTRAP_7932,RECORDING_DEVICE,Ocean Instruments,,SoundTrap 640,7932,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SOUNDTRAP_7938,RECORDING_DEVICE,Ocean Instruments,,SoundTrap 640,7938,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SOUNDTRAP_1208537119,RECORDING_DEVICE,Ocean Instruments,,SoundTrap 300 High Frequency,1208537119,,,,,"{""GAIN"":{""HIGH"":178.3,""LOW"":190.8}}",,
SWFSC,SOUNDTRAP_5985,RECORDING_DEVICE,Ocean Instruments,,SoundTrap 4300 High Frequency,5985,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SOUNDTRAP_5297,RECORDING_DEVICE,Ocean Instruments,,SoundTrap 4300 High Frequency,5297,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SOUNDTRAP_5318,RECORDING_DEVICE,Ocean Instruments,,SoundTrap 4300 High Frequency,5318,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SOUNDTRAP_5988,RECORDING_DEVICE,Ocean Instruments,,SoundTrap 4300 High Frequency,5988,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SOUNDTRAP_5989,RECORDING_DEVICE,Ocean Instruments,,SoundTrap 4300 High Frequency,5989,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SOUNDTRAP_1208786975,RECORDING_DEVICE,Ocean Instruments,,SoundTrap 4300 High Frequency,1208786975,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SOUNDTRAP_6666,RECORDING_DEVICE,Ocean Instruments,,SoundTrap 640,6666,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SOUNDTRAP_6670,RECORDING_DEVICE,Ocean Instruments,,SoundTrap 640,6670,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SOUNDTRAP_6672,RECORDING_DEVICE,Ocean Instruments,,SoundTrap 640,6672,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SOUNDTRAP_6673,RECORDING_DEVICE,Ocean Instruments,,SoundTrap 640,6673,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SOUNDTRAP_6668,RECORDING_DEVICE,Ocean Instruments,,SoundTrap 640,6668,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,SOUNDTRAP_6669,RECORDING_DEVICE,Ocean Instruments,,SoundTrap 640,6669,,,,,"{""SENSITIVITY"":-4}",,
SWFSC,HTI_856001,HYDROPHONE_INDIVIDUAL,"High Tech, Inc.",,HTI-96-MIN,856001,,,,,"{""SENSITIVITY"":-160.8}",,
SWFSC,HTI_856002,HYDROPHONE_INDIVIDUAL,"High Tech, Inc.",,HTI-96-MIN,856002,,,,,"{""SENSITIVITY"":-160.8}",,
SWFSC,HTI_856003,HYDROPHONE_INDIVIDUAL,"High Tech, Inc.",,HTI-96-MIN,856003,,,,,"{""SENSITIVITY"":-161.1}",,
SWFSC,HTI_856004,HYDROPHONE_INDIVIDUAL,"High Tech, Inc.",,HTI-96-MIN,856004,,,,,"{""SENSITIVITY"":-161.2}",,
SWFSC,HTI_856005,HYDROPHONE_INDIVIDUAL,"High Tech, Inc.",,HTI-96-MIN,856005,,,,,"{""SENSITIVITY"":-161.2}",,
SWFSC,HTI_856006,HYDROPHONE_INDIVIDUAL,"High Tech, Inc.",,HTI-96-MIN,856006,,,,,"{""SENSITIVITY"":-161}",,
SWFSC,HTI_856007,HYDROPHONE_INDIVIDUAL,"High Tech, Inc.",,HTI-96-MIN,856007,,,,,"{""SENSITIVITY"":-160.9}",,
SWFSC,HTI_856008,HYDROPHONE_INDIVIDUAL,"High Tech, Inc.",,HTI-96-MIN,856008,,,,,"{""SENSITIVITY"":-161}",,
SWFSC,HTI_856009,HYDROPHONE_INDIVIDUAL,"High Tech, Inc.",,HTI-96-MIN,856009,,,,,"{""SENSITIVITY"":-160.7}",,
SWFSC,HTI_856010,HYDROPHONE_INDIVIDUAL,"High Tech, Inc.",,HTI-96-MIN,856010,,,,,"{""SENSITIVITY"":-180.9}",,
SWFSC,HTI_856011,HYDROPHONE_INDIVIDUAL,"High Tech, Inc.",,HTI-96-MIN,856011,,,,,"{""SENSITIVITY"":-180.8}",,
SWFSC,HTI_856012,HYDROPHONE_INDIVIDUAL,"High Tech, Inc.",,HTI-96-MIN,856012,,,,,"{""SENSITIVITY"":-180.8}",,
SWFSC,HTI_856016,HYDROPHONE_INDIVIDUAL,"High Tech, Inc.",,HTI-96-MIN,856016,,,,,"{""SENSITIVITY"":-181.6}",,
SWFSC,HTI_856017,HYDROPHONE_INDIVIDUAL,"High Tech, Inc.",,HTI-96-MIN,856017,,,,,"{""SENSITIVITY"":-181.4}",,
SWFSC,HTI_856022,HYDROPHONE_INDIVIDUAL,"High Tech, Inc.",,HTI-96-MIN,856022,,,,,"{""SENSITIVITY"":-181.6}",,
SWFSC,HTI_856023,HYDROPHONE_INDIVIDUAL,"High Tech, Inc.",,HTI-96-MIN,856023,,,,,"{""SENSITIVITY"":-181.6}",,
SWFSC,HTI_856024,HYDROPHONE_INDIVIDUAL,"High Tech, Inc.",,HTI-96-MIN,856024,,,,,"{""SENSITIVITY"":-181.8}",,
SWFSC,HTI_856025,HYDROPHONE_INDIVIDUAL,"High Tech, Inc.",,HTI-96-MIN,856025,,,,,"{""SENSITIVITY"":-181.6}",,
SWFSC,HTI_856026,HYDROPHONE_INDIVIDUAL,"High Tech, Inc.",,HTI-96-MIN,856026,,,,,"{""SENSITIVITY"":-181.1}",,
SWFSC,HTI_856027,HYDROPHONE_INDIVIDUAL,"High Tech, Inc.",,HTI-96-MIN,856027,,,,,"{""SENSITIVITY"":-181}",,
SWFSC,HTI_856028,HYDROPHONE_INDIVIDUAL,"High Tech, Inc.",,HTI-92-WB,856028,,,,,"{""SENSITIVITY"":-158.8}",,
SWFSC,HTI_856039,HYDROPHONE_INDIVIDUAL,"High Tech, Inc.",,HTI-96-MIN,856039,,,,,"{""SENSITIVITY"":-165.2}",,
SWFSC,HTI_856040,HYDROPHONE_INDIVIDUAL,"High Tech, Inc.",,HTI-96-MIN,856040,,,,,"{""SENSITIVITY"":-164.7}",,
