organization_code,deployment_code,recording_code,recording_device_codes,recording_start_datetime,recording_end_datetime,recording_duration_secs,recording_interval_secs,recording_sample_rate_khz,recording_bit_depth,recording_channel,recording_n_channels,recording_filetypes,recording_timezone,recording_usable_start_datetime,recording_usable_end_datetime,recording_usable_min_frequency_khz,recording_usable_max_frequency_khz,recording_quality_code,recording_device_lost,recording_device_depth_m,recording_redacted,recording_json,recording_uri,recording_comments
SWFSC,SWFSC_BCN_20160824_PASCAL_006,SOUNDTRAP_RECORDING,"SOUNDTRAP_6538,HTI_856053,HTI_856064",2016-08-24T13:00:23Z,2016-08-30T03:29:26Z,120,120,288,16,1,2,WAV,UTC,2016-08-24T13:00:23Z,2016-08-30T03:29:26Z,0.23,144,COMPROMISED,,100,,,gs://swfsc-1/2016_PASCAL/drifting_recorder/audio_wav/PASCAL_006,
SWFSC,SWFSC_BCN_20160825_PASCAL_007,SM3M_RECORDINGS,"SOUNDTRAP_SM3M_1,HTI_856045,HTI_856042",2016-08-25T09:30:05Z,2016-09-13T09:30:03Z,114,114,256,16,1,2,WAV,UTC,2016-08-25T09:30:05Z,2016-09-13T09:30:03Z,0.25,128,COMPROMISED,,100,,,gs://swfsc-1/2016_PASCAL/drifting_recorder/audio_wav/PASCAL_007,
SWFSC,SWFSC_BCN_20181005_CCES_014,SOUNDTRAP_RECORDING,"SOUNDTRAP_1208791071,HTI_856048,HTI_856059",2018-10-05T06:01:04Z,2018-11-01T16:43:03Z,120,1200,576,16,1,2,WAV,UTC,2018-10-05T06:01:04Z,2018-11-01T16:43:03Z,0.03,576,GOOD,,150,,,gs://swfsc-1/2018_CCES/drifting_recorder/audio_wav/CCES_014,
SWFSC,SWFSC_BCN_20181030_CCES_016,SOUNDTRAP_RECORDING,"SOUNDTRAP_1543770129,HTI_856049,HTI_856068",2018-10-30T14:49:37Z,2018-11-15T23:01:37Z,120,600,576,16,1,2,WAV,UTC,2018-10-30T14:49:37Z,2018-11-15T23:01:37Z,0.03,576,GOOD,,150,,,gs://swfsc-1/2018_CCES/drifting_recorder/audio_wav/CCES_016,
SWFSC,SWFSC_BCN_20181031_CCES_017,SM3M_RECORDINGS,"SOUNDTRAP_SM3M_3,HTI_856073,HTI_856040",2018-10-31T00:00:00Z,2018-11-24T04:30:00Z,120,240,256,16,1,2,WAV,UTC,2018-10-31T00:00:00Z,2018-11-24T04:30:00Z,0,256,COMPROMISED,,100,,,gs://swfsc-1/2018_CCES/drifting_recorder/audio_wav/CCES_017,
SWFSC,SWFSC_BCN_20181031_CCES_018,SOUNDTRAP_RECORDING,"SOUNDTRAP_1208786975,HTI_856096,HTI_856044",2018-10-31T10:05:29Z,2018-11-16T04:12:29Z,120,360,576,16,1,2,WAV,UTC,2018-10-31T10:05:29Z,2018-11-16T04:12:29Z,0,576,GOOD,,150,,,gs://swfsc-1/2018_CCES/drifting_recorder/audio_wav/CCES_018,
SWFSC,SWFSC_BCN_20181101_CCES_019,SOUNDTRAP_RECORDING,"SOUNDTRAP_1678016538,HTI_856095,HTI_856041",2018-11-01T02:23:12Z,2018-11-18T12:54:48Z,120,600,576,16,1,2,WAV,UTC,2018-11-01T02:23:12Z,2018-11-18T12:54:48Z,0.03,576,GOOD,,150,,,gs://swfsc-1/2018_CCES/drifting_recorder/audio_wav/CCES_019,
SWFSC,SWFSC_BCN_20181105_CCES_020,SOUNDTRAP_RECORDING,"SOUNDTRAP_1677738025,HTI_856097,HTI_856017",2018-11-05T14:22:39Z,2018-11-22T09:16:43Z,120,600,576,16,1,2,WAV,UTC,2018-11-05T14:22:39Z,2018-11-22T09:16:43Z,0.02,576,GOOD,,150,,,gs://swfsc-1/2018_CCES/drifting_recorder/audio_wav/CCES_020,
SWFSC,SWFSC_BCN_20181106_CCES_021,SOUNDTRAP_RECORDING,"SOUNDTRAP_1208791071,HTI_856048,HTI_856059",2018-11-06T03:58:51Z,2018-11-11T09:12:51Z,120,360,576,16,1,2,WAV,UTC,2018-11-06T03:58:51Z,2018-11-11T09:12:51Z,0.05,576,GOOD,,150,,,gs://swfsc-1/2018_CCES/drifting_recorder/audio_wav/CCES_021,
SWFSC,SWFSC_BCN_20181107_CCES_022,SOUNDTRAP_RECORDING,"SOUNDTRAP_1544081436,HTI_856051,HTI_856067",2018-11-07T14:23:49Z,2018-11-23T18:55:49Z,120,600,576,16,1,2,WAV,UTC,2018-11-07T14:23:49Z,2018-11-23T18:55:49Z,0.025,576,GOOD,,150,,,gs://swfsc-1/2018_CCES/drifting_recorder/audio_wav/CCES_022,
SWFSC,SWFSC_BCN_20181122_CCES_023,SOUNDTRAP_RECORDING,"SOUNDTRAP_1208791071,HTI_856048,HTI_856059",2018-11-22T08:28:24Z,2018-12-03T00:49:11Z,120,300,576,16,1,2,WAV,UTC,2018-11-22T08:28:24Z,2018-12-03T00:49:11Z,0.02,576,GOOD,,150,,,gs://swfsc-1/2018_CCES/drifting_recorder/audio_wav/CCES_023,
SWFSC,SWFSC_CHI_20160822_PASCAL_005,SOUNDTRAP_RECORDING,"SOUNDTRAP_8677,HTI_856048,HTI_856059",2016-08-22T15:03:57Z,2016-09-04T22:55:57Z,120,600,288,16,1,2,WAV,UTC,2016-08-22T15:03:57Z,2016-09-04T22:55:57Z,0,144,GOOD,,100,,,gs://swfsc-1/2016_PASCAL/drifting_recorder/audio_wav/PASCAL_005,
SWFSC,SWFSC_CHI_20160826_PASCAL_008,SM2BAT_RECORDINGS,"SOUNDTRAP_SM2BAT_1,HTI_856028,HTI_856025",2016-08-26T04:56:00Z,2016-09-14T02:46:00Z,120,240,192,16,1,2,WAV,UTC,2016-08-26T04:56:00Z,2016-09-14T02:46:00Z,0.25,96,COMPROMISED,,100,,,gs://swfsc-1/2016_PASCAL/drifting_recorder/audio_wav/PASCAL_008,
