organization_code,deployment_code,track_code,track_position_datetime,track_position_latitude,track_position_longitude,track_position_speed_knots,track_position_depth_m,track_position_json,track_position_comments
SWFSC,SWFSC_HUM_20210822_ADRIFT_001,DRIFTING-BUOY_TRACK,2021-08-22T17:53:20Z,41.11949,-124.59944,,100,,
SWFSC,SWFSC_HUM_20210822_ADRIFT_001,DRIFTING-BUOY_TRACK,2021-08-22T17:58:47Z,41.11952,-124.59941,0.024781434,100,,
SWFSC,SWFSC_HUM_20210822_ADRIFT_001,DRIFTING-BUOY_TRACK,2021-08-22T18:19:32Z,41.12166,-124.59857,,100,,
SWFSC,SWFSC_HUM_20210822_ADRIFT_001,DRIFTING-BUOY_TRACK,2021-08-22T18:28:47Z,41.12265,-124.59795,0.397265654,100,,
SWFSC,SWFSC_HUM_20210822_ADRIFT_001,DRIFTING-BUOY_TRACK,2021-08-22T18:59:28Z,41.12546,-124.59541,0.398327548,100,,
SWFSC,SWFSC_HUM_20210822_ADRIFT_001,DRIFTING-BUOY_TRACK,2021-08-22T19:19:32Z,41.12715,-124.59299,0.414387727,100,,
SWFSC,SWFSC_HUM_20210822_ADRIFT_001,DRIFTING-BUOY_TRACK,2021-08-22T19:28:09Z,41.12786,-124.59187,0.450067263,100,,
SWFSC,SWFSC_HUM_20210822_ADRIFT_001,DRIFTING-BUOY_TRACK,2021-08-22T19:59:45Z,41.12975,-124.58734,0.444539137,100,,
SWFSC,SWFSC_HUM_20210822_ADRIFT_001,DRIFTING-BUOY_TRACK,2021-08-22T20:05:13Z,41.12978,-124.58733,0.020321972,100,,
SWFSC,SWFSC_HUM_20210822_ADRIFT_001,DRIFTING-BUOY_TRACK,2021-08-22T20:21:04Z,41.13081,-124.58479,0.420149057,100,,
SWFSC,SWFSC_HUM_20210822_ADRIFT_001,DRIFTING-BUOY_TRACK,2021-08-22T20:27:23Z,41.13083,-124.58478,0.012154687,100,,
SWFSC,SWFSC_HUM_20210822_ADRIFT_001,DRIFTING-BUOY_TRACK,2021-08-22T20:35:13Z,41.1312,-124.5827,0.452174465,100,,
