organization_code,deployment_code,track_code,track_position_datetime,track_position_latitude,track_position_longitude
SWFSC,SWFSC_NEPac_20240817_CalCurCEAS_001,drifting-buoy_track,2024-08-17T19:00:22Z,46.87912,-126.15547
SWFSC,SWFSC_NEPac_20240817_CalCurCEAS_001,drifting-buoy_track,2024-08-17T19:00:41Z,46.87928,-126.15544
SWFSC,SWFSC_NEPac_20240817_CalCurCEAS_001,drifting-buoy_track,2024-08-17T19:05:15Z,46.87932,-126.15523
SWFSC,SWFSC_NEPac_20240817_CalCurCEAS_001,drifting-buoy_track,2024-08-17T19:05:41Z,46.87928,-126.15527
SWFSC,SWFSC_NEPac_20240817_CalCurCEAS_001,drifting-buoy_track,2024-08-17T19:11:30Z,46.87915,-126.15479
SWFSC,SWFSC_NEPac_20240817_CalCurCEAS_001,drifting-buoy_track,2024-08-17T19:11:31Z,46.87914,-126.1548
SWFSC,SWFSC_NEPac_20240817_CalCurCEAS_001,drifting-buoy_track,2024-08-17T19:15:21Z,46.87909,-126.15454
SWFSC,SWFSC_NEPac_20240817_CalCurCEAS_001,drifting-buoy_track,2024-08-17T19:15:41Z,46.87909,-126.15454
SWFSC,SWFSC_NEPac_20240817_CalCurCEAS_001,drifting-buoy_track,2024-08-17T19:20:10Z,46.87903,-126.15425
SWFSC,SWFSC_NEPac_20240817_CalCurCEAS_001,drifting-buoy_track,2024-08-17T19:20:41Z,46.87897,-126.15425
SWFSC,SWFSC_NEPac_20240817_CalCurCEAS_001,drifting-buoy_track,2024-08-17T19:25:21Z,46.87888,-126.15396
SWFSC,SWFSC_NEPac_20240817_CalCurCEAS_001,drifting-buoy_track,2024-08-17T19:25:51Z,46.87885,-126.15401
SWFSC,SWFSC_NEPac_20240817_CalCurCEAS_001,drifting-buoy_track,2024-08-17T19:30:19Z,46.87875,-126.15372
SWFSC,SWFSC_NEPac_20240817_CalCurCEAS_001,drifting-buoy_track,2024-08-17T19:30:47Z,46.87877,-126.15367
SWFSC,SWFSC_NEPac_20240817_CalCurCEAS_001,drifting-buoy_track,2024-08-17T19:35:20Z,46.87862,-126.15346
SWFSC,SWFSC_NEPac_20240817_CalCurCEAS_001,drifting-buoy_track,2024-08-17T19:35:45Z,46.87859,-126.15347
SWFSC,SWFSC_NEPac_20240817_CalCurCEAS_001,drifting-buoy_track,2024-08-17T19:40:31Z,46.87852,-126.15321
SWFSC,SWFSC_NEPac_20240817_CalCurCEAS_001,drifting-buoy_track,2024-08-17T19:40:56Z,46.87851,-126.15317
SWFSC,SWFSC_NEPac_20240817_CalCurCEAS_001,drifting-buoy_track,2024-08-17T19:45:21Z,46.8784,-126.15295
SWFSC,SWFSC_NEPac_20240817_CalCurCEAS_001,drifting-buoy_track,2024-08-17T19:45:34Z,46.8784,-126.15294
SWFSC,SWFSC_NEPac_20240817_CalCurCEAS_001,drifting-buoy_track,2024-08-17T19:50:20Z,46.87844,-126.15266
SWFSC,SWFSC_NEPac_20240817_CalCurCEAS_001,drifting-buoy_track,2024-08-17T19:50:50Z,46.8783,-126.15268
SWFSC,SWFSC_NEPac_20240817_CalCurCEAS_001,drifting-buoy_track,2024-08-17T19:55:25Z,46.87823,-126.15242
SWFSC,SWFSC_NEPac_20240817_CalCurCEAS_001,drifting-buoy_track,2024-08-17T19:55:50Z,46.87821,-126.15242
SWFSC,SWFSC_NEPac_20240817_CalCurCEAS_001,drifting-buoy_track,2024-08-17T20:00:20Z,46.87811,-126.15216
SWFSC,SWFSC_NEPac_20240817_CalCurCEAS_001,drifting-buoy_track,2024-08-17T20:00:50Z,46.87812,-126.15216
SWFSC,SWFSC_NEPac_20240817_CalCurCEAS_001,drifting-buoy_track,2024-08-17T20:05:22Z,46.87796,-126.15195
SWFSC,SWFSC_NEPac_20240817_CalCurCEAS_001,drifting-buoy_track,2024-08-17T20:05:57Z,46.87794,-126.1519
SWFSC,SWFSC_NEPac_20240817_CalCurCEAS_001,drifting-buoy_track,2024-08-17T20:10:51Z,46.8778,-126.15169
SWFSC,SWFSC_NEPac_20240817_CalCurCEAS_001,drifting-buoy_track,2024-08-17T20:11:25Z,46.87783,-126.15172
SWFSC,SWFSC_NEPac_20240817_CalCurCEAS_001,drifting-buoy_track,2024-08-17T20:15:23Z,46.87769,-126.15148
SWFSC,SWFSC_NEPac_20240817_CalCurCEAS_001,drifting-buoy_track,2024-08-17T20:15:45Z,46.87773,-126.15155
SWFSC,SWFSC_NEPac_20240817_CalCurCEAS_001,drifting-buoy_track,2024-08-17T20:20:23Z,46.87756,-126.15131
SWFSC,SWFSC_NEPac_20240817_CalCurCEAS_001,drifting-buoy_track,2024-08-17T20:21:01Z,46.87756,-126.15126
SWFSC,SWFSC_NEPac_20240817_CalCurCEAS_001,drifting-buoy_track,2024-08-17T20:25:21Z,46.8774,-126.15111
SWFSC,SWFSC_NEPac_20240817_CalCurCEAS_001,drifting-buoy_track,2024-08-17T20:25:45Z,46.87738,-126.15108
SWFSC,SWFSC_NEPac_20240817_CalCurCEAS_001,drifting-buoy_track,2024-08-17T20:30:21Z,46.8772,-126.15089
SWFSC,SWFSC_NEPac_20240817_CalCurCEAS_001,drifting-buoy_track,2024-08-17T20:30:48Z,46.8772,-126.15088
SWFSC,SWFSC_NEPac_20240817_CalCurCEAS_001,drifting-buoy_track,2024-08-17T20:35:22Z,46.87701,-126.15068
SWFSC,SWFSC_NEPac_20240817_CalCurCEAS_001,drifting-buoy_track,2024-08-17T20:35:59Z,46.87699,-126.15063
SWFSC,SWFSC_NEPac_20240817_CalCurCEAS_001,drifting-buoy_track,2024-08-17T20:40:20Z,46.87675,-126.1505
SWFSC,SWFSC_NEPac_20240817_CalCurCEAS_001,drifting-buoy_track,2024-08-17T20:40:50Z,46.87672,-126.15042
SWFSC,SWFSC_NEPac_20240817_CalCurCEAS_001,drifting-buoy_track,2024-08-17T20:45:03Z,46.87654,-126.15028
SWFSC,SWFSC_NEPac_20240817_CalCurCEAS_001,drifting-buoy_track,2024-08-17T20:45:49Z,46.87652,-126.15028
SWFSC,SWFSC_NEPac_20240817_CalCurCEAS_001,drifting-buoy_track,2024-08-17T20:50:21Z,46.87629,-126.15002
SWFSC,SWFSC_NEPac_20240817_CalCurCEAS_001,drifting-buoy_track,2024-08-17T20:50:51Z,46.87611,-126.14995
SWFSC,SWFSC_NEPac_20240817_CalCurCEAS_001,drifting-buoy_track,2024-08-17T20:55:27Z,46.87605,-126.14981
SWFSC,SWFSC_NEPac_20240817_CalCurCEAS_001,drifting-buoy_track,2024-08-17T20:56:00Z,46.87597,-126.14973
SWFSC,SWFSC_NEPac_20240817_CalCurCEAS_001,drifting-buoy_track,2024-08-17T21:00:43Z,46.8757,-126.1496
SWFSC,SWFSC_NEPac_20240817_CalCurCEAS_001,drifting-buoy_track,2024-08-17T21:02:31Z,46.87565,-126.14951
SWFSC,SWFSC_NEPac_20240817_CalCurCEAS_001,drifting-buoy_track,2024-08-17T21:05:22Z,46.87552,-126.14935
