"UNIQUE_ID","ANALYSIS_PERIOD_START_DATETIME","ANALYSIS_PERIOD_END_DATETIME","ANALYSIS_PERIOD_EFFORT_SECONDS","ANALYSIS_TIME_ZONE","SPECIES_CODE","ACOUSTIC_PRESENCE","N_VALIDATED_DETECTIONS","CALL_TYPE_CODE","DETECTION_METHOD","PROTOCOL_REFERENCE","DETECTION_SOFTWARE_NAME","DETECTION_SOFTWARE_VERSION","MIN_ANALYSIS_FREQUENCY_RANGE_HZ","MAX_ANALYSIS_FREQUENCY_RANGE_HZ","ANALYSIS_SAMPLING_RATE_HZ","QC_PROCESSING","LOCALIZED_LATITUDE","LOCALIZED_LONGITUDE","DETECTION_DISTANCE_M","LOCALIZATION_DISTANCE_METHOD","LOCALIZATION_DISTANCE_PROTOCOL"
"SWFSC_NEPac-HMB_202106_ADRIFT_002","2021-06-09T20:00:00Z","2021-06-09T20:59:59Z","86400","UTC","HUWH","D","","HWSONG","Manual","Unpublished","RAVEN Pro","1.6","0","3000",384000,"Archival","","","","",""
"SWFSC_NEPac-HMB_202106_ADRIFT_002","2021-06-09T20:00:00Z","2021-06-09T20:59:59Z","86400","UTC","SPWH","D","","SPUSC","Manual","Unpublished","Matlab (Triton)","Triton 1.0 2021 09 21","0","48000",384000,"Archival","","","","",""
"SWFSC_NEPac-HMB_202106_ADRIFT_002","2021-06-09T21:00:00Z","2021-06-09T21:59:59Z","86400","UTC","ANTHRO","","","NONBIO","","","","","","",384000,"Archival","","","","",""
"SWFSC_NEPac-HMB_202106_ADRIFT_002","2021-06-09T22:00:00Z","2021-06-09T22:59:59Z","86400","UTC","SPWH","D","","SPUSC","Manual","Unpublished","Matlab (Triton)","Triton 1.0 2021 09 21","0","48000",384000,"Archival","","","","",""
"SWFSC_NEPac-HMB_202106_ADRIFT_002","2021-06-09T23:00:00Z","2021-06-09T23:59:59Z","86400","UTC","SPWH","D","","SPUSC","Manual","Unpublished","Matlab (Triton)","Triton 1.0 2021 09 21","0","48000",384000,"Archival","","","","",""
"SWFSC_NEPac-HMB_202106_ADRIFT_002","2021-06-09T23:00:00Z","2021-06-09T23:59:59Z","86400","UTC","HUWH","D","","HWSONG","Manual","Unpublished","RAVEN Pro","1.6","0","3000",384000,"Archival","","","","",""
"SWFSC_NEPac-HMB_202106_ADRIFT_002","2021-06-10T00:00:00Z","2021-06-10T00:59:59Z","86400","UTC","HUWH","D","","HWUND","Manual","Unpublished","RAVEN Pro","1.6","0","3000",384000,"Archival","","","","",""
"SWFSC_NEPac-HMB_202106_ADRIFT_002","2021-06-10T01:00:00Z","2021-06-10T01:59:59Z","86400","UTC","NBHF","D","","NBHF","PAMGuard Click Detector; PAMGuard Match Template Classifier","https://sael-swfsc.github.io/adrift-analysis-methods/content/ToothedWhales/NBHF-Detection.html","PAMGuard","2.02.09f","0","384000",384000,"Archival","","","","",""
"SWFSC_NEPac-HMB_202106_ADRIFT_002","2021-06-10T04:00:00Z","2021-06-10T04:59:59Z","86400","UTC","HUWH","D","","HWUND","Manual","Unpublished","RAVEN Pro","1.6","0","3000",384000,"Archival","","","","",""
"SWFSC_NEPac-HMB_202106_ADRIFT_002","2021-06-10T04:00:00Z","2021-06-10T04:59:59Z","86400","UTC","HUWH","D","","HWSONG","Manual","Unpublished","RAVEN Pro","1.6","0","3000",384000,"Archival","","","","",""
