"deployment_code_yyyymm","deployment_code_yyyymmdd","Key_yyyymm","Key_yyyymmdd","Keys_Match"
"SWFSC_NEPAC-BCN_201608_PASCAL_007","SWFSC_BCN_20160824_PASCAL_006","PASCAL_007","PASCAL_006",FALSE
"SWFSC_NEPAC-CHI_201809_CCES_013","SWFSC_BCN_20160825_PASCAL_007","CCES_013","PASCAL_007",FALSE
"SWFSC_NEPAC-HUM_201609_PASCAL_016","SWFSC_BCN_20181005_CCES_014","PASCAL_016","CCES_014",FALSE
"SWFSC_NEPAC-HUM_201609_PASCAL_016","SWFSC_BCN_20181030_CCES_016","PASCAL_016","CCES_016",FALSE
"SWFSC_NEPAC-BCN_201608_PASCAL_006","SWFSC_BCN_20181031_CCES_017","PASCAL_006","CCES_017",FALSE
"SWFSC_NEPAC-BCN_201608_PASCAL_006","SWFSC_BCN_20181031_CCES_018","PASCAL_006","CCES_018",FALSE
"SWFSC_NEPAC-BCN_201608_PASCAL_006","SWFSC_BCN_20181101_CCES_019","PASCAL_006","CCES_019",FALSE
"SWFSC_NEPAC-BCN_201608_PASCAL_006","SWFSC_BCN_20181105_CCES_020","PASCAL_006","CCES_020",FALSE
"SWFSC_NEPAC-BCN_201608_PASCAL_006","SWFSC_BCN_20181106_CCES_021","PASCAL_006","CCES_021",FALSE
"SWFSC_NEPAC-BCN_201608_PASCAL_006","SWFSC_BCN_20181107_CCES_022","PASCAL_006","CCES_022",FALSE
"SWFSC_NEPAC-BCN_201608_PASCAL_007","SWFSC_BCN_20181122_CCES_023","PASCAL_007","CCES_023",FALSE
"SWFSC_NEPAC-BCN_201608_PASCAL_007","SWFSC_CHI_20160822_PASCAL_005","PASCAL_007","PASCAL_005",FALSE
"SWFSC_NEPAC-BCN_201608_PASCAL_007","SWFSC_CHI_20160826_PASCAL_008","PASCAL_007","PASCAL_008",FALSE
"SWFSC_NEPAC-BCN_201608_PASCAL_007","SWFSC_CHI_20160904_PASCAL_019","PASCAL_007","PASCAL_019",FALSE
"SWFSC_NEPAC-BCN_201810_CCES_014","SWFSC_CHI_20160906_PASCAL_020","CCES_014","PASCAL_020",FALSE
"SWFSC_NEPAC-BCN_201810_CCES_014","SWFSC_CHI_20160924_PASCAL_026","CCES_014","PASCAL_026",FALSE
"SWFSC_NEPAC-BCN_201810_CCES_014","SWFSC_CHI_20160924_PASCAL_026","CCES_014","PASCAL_026",FALSE
"SWFSC_NEPAC-BCN_201810_CCES_014","SWFSC_CHI_20160924_PASCAL_027","CCES_014","PASCAL_027",FALSE
"SWFSC_NEPAC-BCN_201810_CCES_014","SWFSC_CHI_20160924_PASCAL_028","CCES_014","PASCAL_028",FALSE
"SWFSC_NEPAC-BCN_201810_CCES_014","SWFSC_CHI_20160926_PASCAL_029","CCES_014","PASCAL_029",FALSE
"SWFSC_NEPAC-BCN_201810_CCES_016","SWFSC_CHI_20160926_PASCAL_029","CCES_016","PASCAL_029",FALSE
"SWFSC_NEPAC-BCN_201810_CCES_016","SWFSC_CHI_20160926_PASCAL_030","CCES_016","PASCAL_030",FALSE
"SWFSC_NEPAC-BCN_201810_CCES_016","SWFSC_CHI_20180911_CCES_013","CCES_016","CCES_013",FALSE
"SWFSC_NEPAC-BCN_201810_CCES_016","SWFSC_COL_20160829_PASCAL_012","CCES_016","PASCAL_012",FALSE
"SWFSC_NEPAC-BCN_201810_CCES_016","SWFSC_COL_20160829_PASCAL_013","CCES_016","PASCAL_013",FALSE
"SWFSC_NEPAC-BCN_201810_CCES_017","SWFSC_HMB_20210609_ADRIFT_002","CCES_017","ADRIFT_002",FALSE
"SWFSC_NEPAC-BCN_201810_CCES_017","SWFSC_HUM_20160821_PASCAL_002","CCES_017","PASCAL_002",FALSE
"SWFSC_NEPAC-BCN_201810_CCES_017","SWFSC_HUM_20160901_PASCAL_016","CCES_017","PASCAL_016",FALSE
"SWFSC_NEPAC-BCN_201810_CCES_017","SWFSC_HUM_20180725_CCES_004","CCES_017","CCES_004",FALSE
"SWFSC_NEPAC-BCN_201810_CCES_017","SWFSC_HUM_20180805_CCES_007","CCES_017","CCES_007",FALSE
"SWFSC_NEPAC-BCN_201810_CCES_017","SWFSC_HUM_20180816_CCES_008","CCES_017","CCES_008",FALSE
"SWFSC_NEPAC-BCN_201810_CCES_018","SWFSC_HUM_20210822_ADRIFT_001","CCES_018","ADRIFT_001",FALSE
"SWFSC_NEPAC-BCN_201810_CCES_018","SWFSC_HUM_20220118_ADRIFT_012","CCES_018","ADRIFT_012",FALSE
"SWFSC_NEPAC-BCN_201810_CCES_018","SWFSC_HUM_20220425_ADRIFT_017","CCES_018","ADRIFT_017",FALSE
