"UTC","end","species","call","DriftName"
"2021-08-22 19:00:00",NA,"FIWH",NA,"ADRIFT_001"
"2021-08-23 01:00:00",NA,"FIWH",NA,"ADRIFT_001"
"2021-08-23 03:00:00",NA,"FIWH",NA,"ADRIFT_001"
"2021-08-23 19:00:00",NA,"FIWH",NA,"ADRIFT_001"
"2021-08-23 20:00:00",NA,"FIWH",NA,"ADRIFT_001"
"2021-08-23 23:00:00",NA,"FIWH",NA,"ADRIFT_001"
"2021-08-24",NA,"FIWH",NA,"ADRIFT_001"
"2021-08-24 10:00:00",NA,"FIWH",NA,"ADRIFT_001"
"2021-08-24 15:00:00",NA,"FIWH",NA,"ADRIFT_001"
"2021-08-26 12:00:00",NA,"FIWH",NA,"ADRIFT_001"
"2021-06-10 07:00:00",NA,"FIWH",NA,"ADRIFT_002"
"2021-06-11",NA,"FIWH",NA,"ADRIFT_002"
"2021-06-13 23:00:00",NA,"FIWH",NA,"ADRIFT_002"
"2021-06-14 04:00:00",NA,"FIWH",NA,"ADRIFT_002"
"2021-06-14 05:00:00",NA,"FIWH",NA,"ADRIFT_002"
"2021-06-15 04:00:00",NA,"FIWH",NA,"ADRIFT_002"
"2021-06-15 07:00:00",NA,"FIWH",NA,"ADRIFT_002"
"2021-06-15 21:00:00",NA,"FIWH",NA,"ADRIFT_002"
"2021-06-15 22:00:00",NA,"FIWH",NA,"ADRIFT_002"
"2021-07-27 11:00:00",NA,"FIWH",NA,"ADRIFT_003"
"2021-07-27 12:00:00",NA,"FIWH",NA,"ADRIFT_003"
"2021-07-27 13:00:00",NA,"FIWH",NA,"ADRIFT_003"
"2021-07-27 17:00:00",NA,"FIWH",NA,"ADRIFT_003"
"2021-07-28 15:00:00",NA,"FIWH",NA,"ADRIFT_003"
"2021-07-28 16:00:00",NA,"FIWH",NA,"ADRIFT_003"
"2021-07-28 17:00:00",NA,"FIWH",NA,"ADRIFT_003"
"2021-07-28 18:00:00",NA,"FIWH",NA,"ADRIFT_003"
"2021-07-28 19:00:00",NA,"FIWH",NA,"ADRIFT_003"
"2021-07-28 20:00:00",NA,"FIWH",NA,"ADRIFT_003"
"2021-07-28 21:00:00",NA,"FIWH",NA,"ADRIFT_003"
"2021-07-29 05:00:00",NA,"FIWH",NA,"ADRIFT_003"
"2021-07-29 18:00:00",NA,"FIWH",NA,"ADRIFT_003"
"2021-07-31 09:00:00",NA,"FIWH",NA,"ADRIFT_003"
"2021-07-31 17:00:00",NA,"FIWH",NA,"ADRIFT_003"
"2021-08-01 08:00:00",NA,"FIWH",NA,"ADRIFT_003"
